Ward ID,Time Slot,Day Type,Month,Year,Officers
E05009288,06-08,weekday,1,2025,2
E05009288,08-10,weekday,1,2025,4
E05009288,10-12,weekday,1,2025,6
E05009288,12-14,weekday,1,2025,8
E05009288,14-16,weekday,1,2025,9
E05009288,16-18,weekday,1,2025,9
E05009288,18-20,weekday,1,2025,8
E05009288,20-22,weekday,1,2025,6
E05009288,06-08,weekday,2,2025,2
E05009288,08-10,weekday,2,2025,4
E05009288,10-12,weekday,2,2025,6
E05009288,12-14,weekday,2,2025,8
E05009288,14-16,weekday,2,2025,9
E05009288,16-18,weekday,2,2025,9
E05009288,18-20,weekday,2,2025,8
E05009288,20-22,weekday,2,2025,6
E05009288,06-08,weekend,1,2025,1
E05009288,08-10,weekend,1,2025,1
E05009288,10-12,weekend,1,2025,1
E05009288,12-14,weekend,1,2025,4
E05009288,14-16,weekend,1,2025,6
E05009288,16-18,weekend,1,2025,6
E05009288,18-20,weekend,1,2025,4
E05009288,20-22,weekend,1,2025,3
E05009288,06-08,weekend,2,2025,1
E05009288,08-10,weekend,2,2025,2
E05009288,10-12,weekend,2,2025,1
E05009288,12-14,weekend,2,2025,3
E05009288,14-16,weekend,2,2025,6
E05009288,16-18,weekend,2,2025,6
E05009288,18-20,weekend,2,2025,4
E05009288,20-22,weekend,2,2025,3
E05009305,06-08,weekday,1,2025,2
E05009305,08-10,weekday,1,2025,4
E05009305,10-12,weekday,1,2025,6
E05009305,12-14,weekday,1,2025,8
E05009305,14-16,weekday,1,2025,9
E05009305,16-18,weekday,1,2025,9
E05009305,18-20,weekday,1,2025,8
E05009305,20-22,weekday,1,2025,6
E05009305,06-08,weekday,2,2025,2
E05009305,08-10,weekday,2,2025,4
E05009305,10-12,weekday,2,2025,6
E05009305,12-14,weekday,2,2025,8
E05009305,14-16,weekday,2,2025,9
E05009305,16-18,weekday,2,2025,9
E05009305,18-20,weekday,2,2025,8
E05009305,20-22,weekday,2,2025,6
E05009305,06-08,weekend,1,2025,1
E05009305,08-10,weekend,1,2025,1
E05009305,10-12,weekend,1,2025,1
E05009305,12-14,weekend,1,2025,4
E05009305,14-16,weekend,1,2025,6
E05009305,16-18,weekend,1,2025,6
E05009305,18-20,weekend,1,2025,4
E05009305,20-22,weekend,1,2025,3
E05009305,06-08,weekend,2,2025,1
E05009305,08-10,weekend,2,2025,2
E05009305,10-12,weekend,2,2025,1
E05009305,12-14,weekend,2,2025,3
E05009305,14-16,weekend,2,2025,6
E05009305,16-18,weekend,2,2025,6
E05009305,18-20,weekend,2,2025,4
E05009305,20-22,weekend,2,2025,3
E05009308,06-08,weekday,1,2025,1
E05009308,08-10,weekday,1,2025,9
E05009308,10-12,weekday,1,2025,12
E05009308,12-14,weekday,1,2025,15
E05009308,14-16,weekday,1,2025,18
E05009308,16-18,weekday,1,2025,18
E05009308,18-20,weekday,1,2025,15
E05009308,20-22,weekday,1,2025,12
E05009308,06-08,weekday,2,2025,1
E05009308,08-10,weekday,2,2025,9
E05009308,10-12,weekday,2,2025,12
E05009308,12-14,weekday,2,2025,15
E05009308,14-16,weekday,2,2025,18
E05009308,16-18,weekday,2,2025,18
E05009308,18-20,weekday,2,2025,15
E05009308,20-22,weekday,2,2025,12
E05009308,06-08,weekend,1,2025,1
E05009308,08-10,weekend,1,2025,1
E05009308,10-12,weekend,1,2025,1
E05009308,12-14,weekend,1,2025,9
E05009308,14-16,weekend,1,2025,12
E05009308,16-18,weekend,1,2025,12
E05009308,18-20,weekend,1,2025,9
E05009308,20-22,weekend,1,2025,5
E05009308,06-08,weekend,2,2025,1
E05009308,08-10,weekend,2,2025,5
E05009308,10-12,weekend,2,2025,1
E05009308,12-14,weekend,2,2025,8
E05009308,14-16,weekend,2,2025,10
E05009308,16-18,weekend,2,2025,11
E05009308,18-20,weekend,2,2025,9
E05009308,20-22,weekend,2,2025,5
E05009317,06-08,weekday,1,2025,2
E05009317,08-10,weekday,1,2025,4
E05009317,10-12,weekday,1,2025,6
E05009317,12-14,weekday,1,2025,8
E05009317,14-16,weekday,1,2025,9
E05009317,16-18,weekday,1,2025,9
E05009317,18-20,weekday,1,2025,8
E05009317,20-22,weekday,1,2025,6
E05009317,06-08,weekday,2,2025,2
E05009317,08-10,weekday,2,2025,4
E05009317,10-12,weekday,2,2025,6
E05009317,12-14,weekday,2,2025,8
E05009317,14-16,weekday,2,2025,9
E05009317,16-18,weekday,2,2025,9
E05009317,18-20,weekday,2,2025,8
E05009317,20-22,weekday,2,2025,6
E05009317,06-08,weekend,1,2025,1
E05009317,08-10,weekend,1,2025,1
E05009317,10-12,weekend,1,2025,1
E05009317,12-14,weekend,1,2025,4
E05009317,14-16,weekend,1,2025,6
E05009317,16-18,weekend,1,2025,6
E05009317,18-20,weekend,1,2025,4
E05009317,20-22,weekend,1,2025,3
E05009317,06-08,weekend,2,2025,1
E05009317,08-10,weekend,2,2025,2
E05009317,10-12,weekend,2,2025,1
E05009317,12-14,weekend,2,2025,3
E05009317,14-16,weekend,2,2025,6
E05009317,16-18,weekend,2,2025,6
E05009317,18-20,weekend,2,2025,4
E05009317,20-22,weekend,2,2025,3
E05009318,06-08,weekday,1,2025,2
E05009318,08-10,weekday,1,2025,4
E05009318,10-12,weekday,1,2025,6
E05009318,12-14,weekday,1,2025,8
E05009318,14-16,weekday,1,2025,9
E05009318,16-18,weekday,1,2025,9
E05009318,18-20,weekday,1,2025,8
E05009318,20-22,weekday,1,2025,6
E05009318,06-08,weekday,2,2025,2
E05009318,08-10,weekday,2,2025,4
E05009318,10-12,weekday,2,2025,6
