Ward ID,LSOA_Burglary_Count,Ward Name,Has_Area_Data,Ward_Area,Crime_Density
E05000026,49,Abbey,True,1.2811775931000573,38.24606382744722
E05000028,7,Becontree,True,1.2865356676254,5.440968467605817
E05000032,11,Gascoigne,True,1.1371647682782728,9.673180445657472
E05000039,45,Thames,True,7.877962197199837,5.712137082352961
E05000042,6,Whalebone,True,1.552015985801119,3.865939561764837
E05000044,20,Burnt Oak,True,2.0647984060801328,9.6861756291107
E05000046,130,Colindale,True,2.6333514580329513,49.36674882626826
E05000057,23,Mill Hill,True,9.375193351953188,2.4532827363190624
E05000086,17,Barnhill,True,2.9757086030391924,5.712924976134196
E05000088,8,Dollis Hill,True,2.296992726220894,3.4828146857747893
E05000099,32,Queensbury,True,2.0489946086828357,15.617415421395718
E05000100,83,Stonebridge,True,4.046573691539276,20.51117966133656
E05000102,53,Tokyngton,True,2.756076162158549,19.230237802459925
E05000104,18,Wembley Central,True,1.602637235658073,11.231487450501461
E05000109,43,Bromley Town,True,3.711146566158896,11.586715650658276
E05000116,21,Crystal Palace,True,2.288474636229903,9.176418067973865
E05000129,76,Bloomsbury,True,1.0197652530754715,74.52695585655079
E05000131,17,Cantelowes,True,0.7583925046998891,22.41583335099974
E05000141,14,King's Cross,True,0.6106548311580561,22.926208531667825
E05000142,29,Regent's Park,True,1.3495537625671332,21.488584452416287
E05000143,15,St Pancras and Somers Town,True,1.3972731008593193,10.735195568264386
E05000173,52,Ealing Broadway,True,1.8545510003004853,28.039131839229363
E05000175,42,East Acton,True,4.270791583985167,9.834242475679158
E05000206,35,Ponders End,True,3.5386696929125017,9.890722513632872
E05000208,25,Southgate,True,2.6840094729072153,9.314423161450682
E05000220,45,Eltham West,True,2.422426142752609,18.576417751530037
E05000222,70,Greenwich West,True,2.7923749131124875,25.068267040823443
E05000225,164,Peninsula,True,4.485203822813459,36.56467052084308
E05000230,81,Woolwich Riverside,True,3.256822703587546,24.870865678618188
E05000253,23,College Park and Old Oak,True,3.4320796704630103,6.701476133535428
E05000262,15,Sands End,True,1.3765813628875176,10.896558971665861
E05000273,25,Hornsey,True,1.052568452049764,23.751424386048416
E05000281,45,Tottenham Hale,True,1.9093870797276427,23.567772337926815
E05000286,11,Canons,True,5.61894964957279,1.957661250948624
E05000288,26,Greenhill,True,1.7448780615898944,14.900754713088302
E05000292,5,Headstone North,True,3.2932917863873885,1.518237776764021
E05000296,15,Marlborough,True,1.644723562887857,9.120073633323846
E05000301,23,Roxbourne,True,1.504302977804943,15.28947315756914
E05000306,19,Brooklands,True,4.196928899130216,4.52711981943216
E05000312,39,Harold Wood,True,7.579613339654992,5.145381202489571
E05000325,57,Botwell,True,4.362797976808103,13.065010184519743
E05000339,6,Townfield,True,3.4983085760026444,1.7151145674107235
E05000340,33,Uxbridge North,True,4.64116469064766,7.110284206569484
E05000341,24,Uxbridge South,True,3.1144752198878125,7.705953107844766
E05000342,16,West Drayton,True,3.4878391067923493,4.587367567741585
E05000345,46,Yiewsley,True,4.018101704718722,11.448192051977967
E05000347,50,Brentford,True,3.179994148819618,15.723299371025414
E05000358,35,Hounslow Central,True,1.7339341324680246,20.185311162992193
E05000359,12,Hounslow Heath,True,2.7818172802162584,4.313726888297682
E05000361,24,Hounslow West,True,1.6201449560745091,14.813489317739949
E05000364,38,Syon,True,2.851121103639385,13.328090466411247
E05000371,54,Finsbury Park,True,0.9152005548806891,59.00346073002519
E05000373,10,Highbury West,True,1.0812995516108548,9.24813108920891
E05000380,18,St Peter's,True,0.8105200054905148,22.207965106433942
E05000403,11,Canbury,True,1.2410044920084475,8.863787416431949
E05000426,43,Oval,True,1.2762561685747047,33.692295527175766
E05000427,19,Prince's,True,1.1624038634574985,16.345437758169243
E05000443,32,Evelyn,True,1.7740163883916797,18.038164815946907
E05000448,59,Lewisham Central,True,2.062019871873573,28.61272134414106
E05000451,21,Rushey Green,True,1.7852392616706758,11.763129150737825
E05000457,34,Colliers Wood,True,1.109881583903756,30.63389869071684
E05000474,36,Wimbledon Park,True,2.307537325770623,15.601047748156132
E05000475,41,Beckton,True,6.243529564692109,6.56679840708368
E05000476,9,Boleyn,True,0.9159937943712857,9.825394075051967
E05000478,83,Canning Town South,True,1.8066165949480892,45.94223269735043
E05000490,11,Plaistow South,True,1.382543406007471,7.956350558110837
E05000491,60,Royal Docks,True,4.724515980330291,12.699713631999483
E05000492,165,Stratford and New Town,True,4.235006995494033,38.96097460418763
E05000564,33,Sutton Central,True,1.3089279935016385,25.211470885971767
E05000571,13,Wandle Valley,True,2.0512437740613034,6.337618260876429
E05000604,8,Leyton,True,2.0297194504529075,3.941431412215563
E05000608,33,William Morris,True,0.9979463599031937,33.067909585041406
E05000614,24,Fairfield,True,1.4526924251687845,16.521047115125903
E05000620,33,Queenstown,True,3.201190953028427,10.308663395659346
E05000622,17,St Mary's Park,True,1.3955827134100987,12.18129161148793
E05000624,36,Southfields,True,1.5229659139647753,23.638086492875143
E05000625,42,Thamesfield,True,1.9194096884434013,21.881727623278316
E05000631,20,Bayswater,True,0.5175025819912569,38.64715017081383
E05000633,27,Churchill,True,0.6092340554540011,44.31794276483708
E05000637,47,Knightsbridge and Belgravia,True,3.5942759954752566,13.07634696366309
E05000639,24,Little Venice,True,0.6373303356675438,37.65708088390654
